Название;Режиссёр;Страна производства;Жанр;Год выхода;Место в рейтинге;Средняя оценка пользователей сайта;Количество отзывов
Жутко громко и запредельно близко;Стивен Долдри;США;драма;2011;653;8.08;1
Зачарованная;Кевин Лима;США;комедия, мелодрама, мюзикл, приключения, семейный, фэнтези;2007;654;8.08;0
Прибытие;Дени Вильнев;США;детектив, драма, триллер, фантастика;2016;655;8.07;3
28 дней спустя...;Дэнни Бойл;Великобритания;триллер, ужасы, фантастика;2002;656;8.07;1
Джей и молчаливый Боб наносят ответный удар;Кевин Смит;США;комедия, приключения;2001;657;8.07;0
Смокинг;Кевин Донован;США;боевик, комедия, триллер, фантастика;2002;658;8.07;0
Шакал;Майкл Кейтон-Джонс;США, Германия, Франция, Япония, Великобритания;боевик, драма, криминал, триллер;1997;659;8.07;0
Один день;Лоне Шерфиг;США;комедия, мелодрама;2011;660;8.07;0
Форсаж 5;Джастин Лин;США;боевик, драма, криминал, триллер;2011;661;8.06;1
Черный лебедь;Даррен Аронофски;США;драма, триллер;2010;662;8.06;2
Неудержимые 2;Саймон Уэст;США;боевик, приключения, триллер;2012;663;8.06;1
Кошмар на улице Вязов;Уэс Крэйвен;США;детектив, триллер, ужасы, фэнтези;1984;664;8.06;1
Операция Валькирия;Брайан Сингер;США;биографический, драма, исторический, триллер;2008;665;8.06;1
Три дня на побег;Пол Хаггис;США;драма, криминал, мелодрама, триллер;2010;666;8.06;0
Господин Никто;Яко Ван Дормел;Канада, Франция, Бельгия;драма, мелодрама, фантастика, фэнтези;2009;667;8.06;0
Близнецы;Айван Рейтман;США;комедия, криминал;1988;668;8.06;0
В центре внимания;Томас МакКарти;США;биографический, драма, исторический, триллер;2015;669;8.06;0
Техасская резня бензопилой;Тоуб Хупер;США;триллер, ужасы;1974;670;8.06;0
Коматозники;Джоэл Шумахер;США;триллер, ужасы, фантастика;1990;671;8.06;0
Рожденный четвертого июля;Оливер Стоун;США;биографический, военный, драма;1989;672;8.06;0
Война миров Z;Марк Форстер;США;боевик, ужасы, фантастика;2013;673;8.05;2
Крестный отец 3;Френсис Форд Коппола;США;боевик, драма, криминал, триллер;1990;674;8.05;0
Сокровище Амазонки;Питер Берг;США;боевик, комедия, приключения, триллер;2003;675;8.05;0
Отчаянный;Роберт Родригес;США;боевик, драма, криминал, триллер;1995;676;8.05;0
Аритмия;Борис Хлебников;Россия;драма, мелодрама;2017;677;8.05;0
Звездные войны: Эпизод 2 - Атака клонов;Джордж Лукас;США;боевик, приключения, фантастика, фэнтези;2002;678;8.04;2
Самый пьяный округ в мире;Джон Хиллкоут;США;боевик, драма, криминал;2012;679;8.04;2
500 дней лета;Марк Уэбб;США;комедия, мелодрама;2009;680;8.04;1
Лучший стрелок;Тони Скотт;США;боевик, драма, мелодрама;1986;681;8.04;0
Идентификация;Джеймс Мэнголд;США;детектив, криминал, триллер, ужасы;2003;682;8.04;0
РЭД: Реальные, экстремальные, дерзкие;Роберт Швентке;США;боевик, кинокомикс, комедия;2010;683;8.03;1
12 обезьян;Терри Гиллиам;США;детектив, триллер, фантастика;1995;684;8.03;0
Славные парни;Шейн Блэк;США, Великобритания;комедия, криминал, триллер;2016;685;8.03;0
Драйв;Николас Виндинг Рефн;США;драма, криминал;2011;686;8.03;0
Приключения Паддингтона 2;Пол Кинг;Великобритания, Франция. США;комедия, приключения, семейный, фэнтези;2017;687;8.03;0
На грани;Асгер Лет;США;боевик, криминал, приключения, триллер;2012;688;8.03;0
Джиперс Криперс;Виктор Сальва;Германия, США;мистика, ужасы;2001;689;8.03;0
Любой ценой;Дэвид МакКензи;США;драма, криминал;2016;690;8.03;0
Ослепленный желаниями;Харольд Рэмис;США, Германия;комедия, фэнтези;2000;691;8.03;0
Дело Ричарда Джуэлла;Клинт Иствуд;США;биографический, драма, криминал;2019;692;8.03;0
Темный город;Алекс Пройас;США, Австралия;детектив, триллер, фантастика;1998;693;8.03;0
Мы были солдатами;Рэндолл Уоллес;США, Германия;боевик, военный, исторический;2002;694;8.03;0
Экзамен;Стюарт Хэзелдайн;Великобритания;триллер;2009;695;8.03;2
Перл-Харбор;Майкл Бэй;США;боевик, военный, мелодрама;2001;696;8.02;1
Марсианин;Ридли Скотт;США, Великобритания;приключения, фантастика;2015;697;8.02;1
Оно;Андрес Мускетти;США;триллер, ужасы;2017;698;8.02;1
Послезавтра;Роланд Эммерих;США;боевик, приключения, триллер, фантастика;2004;699;8.02;1
Первому игроку приготовиться;Стивен Спилберг;США, Индия;боевик, приключения, фантастика;2018;700;8.02;4
Блэйд 2;Гильермо Дель Торо;США;боевик, кинокомикс, триллер, ужасы;2002;701;8.02;0
Миссия невыполнима 3;Джей Джей Абрамс;США, Германия;боевик, приключения, триллер;2006;702;8.02;0
